species,common name,lng,lat,date,method,Coupe Number,Coupe Name
Petauroides volans,Greater Glider,145.94484,-37.79387,11/4/17,Active,462-507-0008,Estate
Petauroides volans,Greater Glider,145.94535,-37.7941,11/4/17,Active,462-507-0008,Estate
Petauroides volans,Greater Glider,145.94545,-37.79431,11/4/17,Active,462-507-0008,Estate
Petauroides volans,Greater Glider,145.94612,-37.79512,11/4/17,Active,462-507-0008,Estate
Petauroides volans,Greater Glider,145.94724,-37.79635,11/4/17,Active,462-507-0008,Estate
Petauroides volans,Greater Glider,145.95072,-37.79791,11/4/17,Active,462-507-0008,Estate
Petauroides volans,Greater Glider,145.93505,-37.77068,11/3/17,Active,462-506-0016,Antarctic
Petauroides volans,Greater Glider,145.94244,-37.80262,6/7/17,Active,462-507-0009,Jakop
Petauroides volans,Greater Glider,145.94318,-37.8025,6/7/17,Active,462-507-0009,Jakop
Petauroides volans,Greater Glider,145.94438,-37.80322,6/7/17,Active,462-507-0009,Jakop
Petauroides volans,Greater Glider,145.63161,-37.55993,26/9/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63251,-37.55953,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63254,-37.55953,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63391,-37.55901,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63674,-37.56022,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63448,-37.561,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63277,-37.56113,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63284,-37.56119,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63149,-37.56083,26/6/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.6343,-37.55817,22/7/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.63446,-37.55837,22/7/17,Active,307-505-0012,Kings
Petauroides volans,Greater Glider,145.52802,-37.42977,27/8/17,Active,298-516-0001,Glenview
Petauroides volans,Greater Glider,145.52544,-37.42926,27/8/17,Active,298-516-0001,Glenview
Petauroides volans,Greater Glider,145.52498,-37.42975,27/8/17,Active,298-516-0001,Glenview
Petauroides volans,Greater Glider,145.5248,-37.42866,27/8/17,Active,298-516-0001,Glenview
