X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension,wptx1_WaypointExtension,ctx_CreationTimeExtension
145.991090973839,-37.8883239626884,299.271912,2017/11/30 14:11:58+00,,,ABD01GGV000000,IM5186,IM5186,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-11-30T14:11:58Z</ctx:CreationTime>      
145.993595402688,-37.8894417732954,227.58203125,2017/11/30 14:29:38+00,,,ABD03GGV000000,IM5195,IM5195,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-11-30T14:29:38Z</ctx:CreationTime>      
145.993619961664,-37.8895400092006,255.679977,2017/11/30 14:29:38+00,,,ABD04GGV000000,IM5195,IM5195,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-11-30T14:29:38Z</ctx:CreationTime>      
145.989013016224,-37.8880340326577,313.33194,2017/11/11 11:49:56+00,,,BBA04GGV000000,IM1662,IM1662,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-11-11T11:49:56Z</ctx:CreationTime>      
145.762606998906,-37.8890299703926,657.162781,2019/02/16 12:26:33+00,,,BBB01GGV000000,0534,0534,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2019-02-16T12:26:33Z</ctx:CreationTime>      
145.763605032116,-37.8884640242904,663.982788,2019/02/16 12:36:07+00,,,BBB02GGV,0538,0538,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2019-02-16T12:36:07Z</ctx:CreationTime>      
145.762631976977,-37.8887979593128,662.73645,2019/02/16 12:47:16+00,,,BBB03GGV,0539,0539,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2019-02-16T12:47:16Z</ctx:CreationTime>      
146.125407032669,-37.8971409704536,524.515442,2018/05/14 12:35:52+00,,,BLY01GGV,IMG6563,IMG6563,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-14T12:35:52Z</ctx:CreationTime>      
146.127104032785,-37.898532031104,534.432007,2018/05/14 13:06:50+00,,,BLY02GGV,6567,6567,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-14T13:06:50Z</ctx:CreationTime>      
146.134038968012,-37.8984539955854,461.787903,2018/05/14 13:26:08+00,,,BLY03GGV,6572,6572,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-14T13:26:08Z</ctx:CreationTime>      
146.135847028345,-37.8988089691848,465.394226,2018/05/14 13:36:41+00,,,BLY04GGV,IMG6573,IMG6573,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-05-14T13:36:41Z</ctx:CreationTime>      
