Species,Common name,lng,lat,Date,Method,Coupe Number,Coupe Name
Persoonia arborea,Tree Geebung,145.91871667,-37.56558333,19/8/17,active,313-503-0008,Seville
Persoonia arborea,Tree Geebung,146.15313333,-37.81953333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15328333,-37.81946667,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15328333,-37.81945000,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15320000,-37.81938333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15315000,-37.81936667,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15341667,-37.81928333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15326667,-37.81903333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15330000,-37.81893333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15330000,-37.81893333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15330000,-37.81878333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15336667,-37.81875000,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15338333,-37.81873333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15373333,-37.81896667,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15258333,-37.81866667,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15206667,-37.81878333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15165000,-37.81858333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15115000,-37.81883333,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15111667,-37.81875000,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,146.15006667,-37.81886667,19/11/17,active,461-505-0002,Dyers Link
Persoonia arborea,Tree Geebung,145.56703333,-37.49456667,28/12/17,active,Proposed ,Yellowdindi Proposed
Persoonia arborea,Tree Geebung,145.56613333,-37.49508333,28/12/17,active,Proposed ,Yellowdindi Proposed
Persoonia arborea,Tree Geebung,145.78683333,-37.81666667,18/9/17,active,345-505-0006,Hairy Hyde
Persoonia arborea,Tree Geebung,145.74441667,-37.71113333,1/6/17,active,N/A,N/A
Persoonia arborea,Tree Geebung,145.56053333,-37.54605000,12/11/17,active,300-524-0002,Waves
Persoonia arborea,Tree Geebung,145.56175000,-37.54688333,12/11/17,active,300-524-0002,Waves
Persoonia arborea,Tree Geebung,145.93295000,-37.80096667,21/1/18,active,462-506-0019,Brugha
Persoonia arborea,Tree Geebung,145.93295000,-37.80105000,21/1/18,active,462-506-0019,Brugha
