lat,lng,UNIQUE_ID,RECORD_ID,STATUS,SOURCE,STARTDATE,SRC_GROUP,LBP_USAGE,LBPBUFF_ID,RECORDTYPE,Survey Method,common.name,species
-37.50869013,145.50565,348,6917586,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),5/4/15,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",TT176.1,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.51758205,145.5055441,510,8220605,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),4/18/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",TT285.1,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.52375013,145.5091167,518,8220606,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),5/15/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",TT293.1,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.5496016,145.57081,546,8436747,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),6/28/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT102.3,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.49615455,145.5398165,557,8436748,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),6/28/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT202.2,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.49528155,145.5421072,558,8436749,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),7/9/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT202.3,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.49895013,145.5378834,559,8436750,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),7/18/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT202.4,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.50333347,145.4683333,560,8436751,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),7/21/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT312.1,New (verified) record post-February 2014,Stagwatching,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.82693346,145.7771667,561,8436752,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),7/27/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT30.2,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.51350009,145.5065671,566,8436753,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),7/29/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT314.1,New (verified) record post-February 2014,Stagwatching,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.81828313,145.78115,567,8436754,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),8/2/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT315.1,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.8197331,145.7560501,568,8436755,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),8/4/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT316.1,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.81861715,145.758783,569,8436756,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),8/4/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT316.2,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.38808312,145.8949,570,8436757,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),8/6/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT317.1,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.38555011,145.894633,571,8436758,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),8/8/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT317.2,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
-37.3906671,145.9228171,573,8436760,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),8/8/16,WOTCH,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT207.2,New (verified) record post-February 2014,Active Search,Leadbeater's Possum,Gymnobelideus leadbeateri
