lng,lat,UNIQUE_ID,Sighting Order,RECORD_ID,STATUS,SOURCE,STARTDATE,SRC_GROUP,LBP_USAGE,LBPBUFF_ID,RECORDTYPE,XCOORD,YCOORD,Method,species,common name
145.4683333,-37.50333334,560,#9,8436751,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),21/7/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT312.1,New (verified) record post-February 2014,145.468333,-37.503333,Stagwatching,Gymnobelideus leadbeateri,Leadbeater's possum
145.505544,-37.51758192,510,#2,8220605,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),18/4/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",TT285.1,New (verified) record post-February 2014,145.505544,-37.517582,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.50565,-37.50869,348,#1,6917586,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),4/5/15,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",TT176.1,New (verified) record post-February 2014,145.50565,-37.50869,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.506567,-37.51349996,566,#11,8436753,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),29/7/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT314.1,New (verified) record post-February 2014,145.506567,-37.5135,Stagwatching,Gymnobelideus leadbeateri,Leadbeater's possum
145.5091167,-37.52375,518,#3,8220606,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),15/5/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",TT293.1,New (verified) record post-February 2014,145.509117,-37.52375,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.511233,-37.52268303,632,#61,8436810,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),5/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT293.2,New (verified) record post-February 2014,145.511233,-37.522683,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5132,-37.53953297,631,#60,8436809,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),1/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT343.1,New (verified) record post-February 2014,145.5132,-37.539533,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.513783,-37.54383302,596,#37,8436783,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),2/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT326.1,New (verified) record post-February 2014,145.513783,-37.543833,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5155501,-37.54915001,643,#72,8491858,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),24/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT346.1,New (verified) record post-February 2014,145.51555,-37.54915,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.520733,-37.48349997,583,#26,8436770,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),17/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT321.1,New (verified) record post-February 2014,145.520733,-37.4835,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.525783,-37.48265001,582,#25,8436769,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),17/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT320.1,New (verified) record post-February 2014,145.525783,-37.48265,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5297761,-37.49707536,907,#110,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT428.1,New (verified) record post-February 2014,145.529776,-37.497075,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.535317,-37.50108302,630,#59,8436808,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),1/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT202.5,New (verified) record post-February 2014,145.535317,-37.501083,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5378833,-37.49895,559,#8,8436750,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),18/7/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT202.4,New (verified) record post-February 2014,145.537883,-37.49895,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.539533,-37.51426701,874,#108,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT408.1,New (verified) record post-February 2014,145.539533,-37.514267,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5398165,-37.49615442,557,#6,8436748,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),28/6/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT202.2,New (verified) record post-February 2014,145.539817,-37.496154,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5421072,-37.49528142,558,#7,8436749,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),9/7/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT202.3,New (verified) record post-February 2014,145.542107,-37.495281,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.566267,-37.54548303,823,#93,8502555,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),27/1/17,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT102.4,New (verified) record post-February 2014,145.566267,-37.545483,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.57081,-37.54960148,546,#5,8436747,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),28/6/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT102.3,New (verified) record post-February 2014,145.57081,-37.549601,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5709,-37.55646703,642,#71,8491857,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),20/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT345.1,New (verified) record post-February 2014,145.5709,-37.556467,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5771333,-37.57273333,521,#4,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",TT96.2,New (verified) record post-February 2014,145.577133,-37.572733,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.5805033,-37.54166993,1017,#117,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT457.1,New (verified) record post-February 2014,145.580503,-37.54167,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.586217,-37.54531696,1016,#116,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT456.1,New (verified) record post-February 2014,145.586217,-37.545317,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.61995,-37.54836698,718,#87,8502550,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),16/1/17,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT382.1,New (verified) record post-February 2014,145.61995,-37.548367,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.62065,-37.54590003,822,#92,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT372.2,New (verified) record post-February 2014,145.62065,-37.5459,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.622717,-37.54479998,697,#83,0,VERIFIED,PENDING LOAD TO VICTORIAN BIODIVERSITY ATLAS,,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT372.1,New (verified) record post-February 2014,145.622717,-37.5448,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.726933,-37.90879997,636,#65,8491851,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),18/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT337.2,New (verified) record post-February 2014,145.726933,-37.9088,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
