species,common name,lng,lat,date,Method,Coupe Number,Coupe Name
Petaurus australis,Yellow-Bellied Glider,146.302243,-37.8745557,16/1/18,active,498-509-0003,Chopper
Petaurus australis,Yellow-Bellied Glider,146.28981,-37.91813,21/5/17,active,483-505-0002,Rowles
Petaurus australis,Yellow-Bellied Glider,146.29491,-37.90108,29/1/17,active,483-504-0011,Growlers Gap
Petaurus australis,Yellow-Bellied Glider,146.29459,-37.90108,30/12/16,active,483-504-0011,Growlers Gap
Petaurus australis,Yellow-Bellied Glider,145.99147,-37.88957,11/11/17,active,462-512-0002,Backdoor
Petaurus australis,Yellow-Bellied Glider,145.99259,-37.88898,11/11/17,active,462-512-0002,Backdoor
Petaurus australis,Yellow-Bellied Glider,145.99376,-37.88838,1/12/17,active,462-512-0002,Backdoor
Petaurus australis,Yellow-Bellied Glider,145.99287,-37.88737,2/12/17,active,462-512-0002,Backdoor
Petaurus australis,Yellow-Bellied Glider,146.28701,-37.87879,28/1/17,active,483-503-0006,Chopper
Petaurus australis,Yellow-Bellied Glider,145.84143,-37.8778,27/4/17,active,349-512-0009,Cuppa Tea
Petaurus australis,Yellow-Bellied Glider,145.75693,-37.82584,3/8/16,active,345-507-0005,Little Block
Petaurus australis,Yellow-Bellied Glider,146.15032,-37.8188,23/11/17,active,461-505-0002,Dyers Link
Petaurus australis,Yellow-Bellied Glider,146.15092,-37.81877,23/11/17,active,461-505-0002,Dyers Link
Petaurus australis,Yellow-Bellied Glider,146.15215,-37.81875,23/11/17,active,461-505-0002,Dyers Link
Petaurus australis,Yellow-Bellied Glider,145.79148,-37.81665,18/4/17,active,345-505-0009,Black Sands Road
Petaurus australis,Yellow-Bellied Glider,146.11471,-37.81284,15/12/16,active,461-506-0001,Dali
Petaurus australis,Yellow-Bellied Glider,146.15131,-37.81161,18/11/17,active,461-505-0001,Dyers Winchline
Petaurus australis,Yellow-Bellied Glider,145.80026,-37.81112,29/9/17,active,345-505-0005,Starlings Gap
Petaurus australis,Yellow-Bellied Glider,146.08354,-37.81043,17/12/17,active,461-510-0003,Taylor Made
Petaurus australis,Yellow-Bellied Glider,145.86642,-37.80944,18/2/17,active,348-506-0003,Blue Vein
Petaurus australis,Yellow-Bellied Glider,146.08753,-37.80793,18/12/17,active,461-510-0003,Taylor Made
Petaurus australis,Yellow-Bellied Glider,145.84111,-37.80693,5/4/17,active,348-507-0005,Feder
Petaurus australis,Yellow-Bellied Glider,146.08844,-37.80307,18/1/18,active,461-510-0003,Taylor Made
Petaurus australis,Yellow-Bellied Glider,146.06667,-37.80088,4/1/18,active,461-514-0004,Rabbit Patch
Petaurus australis,Yellow-Bellied Glider,145.97484,-37.79445,6/7/17,active,462-504-0030,North Litaize
Petaurus australis,Yellow-Bellied Glider,146.07161,-37.79347,3/1/18,active,461-514-0004,Rabbit Patch
Petaurus australis,Yellow-Bellied Glider,145.74493,-37.71161,1/6/17,active,N/A,N/A
Petaurus australis,Yellow-Bellied Glider,145.75705,-37.68269,3/6/17,active,342-502-0002,Smith Hill
Petaurus australis,Yellow-Bellied Glider,145.68571,-37.59067,5/6/17,active,309-507-0003,Kenya
Petaurus australis,Yellow-Bellied Glider,145.68575,-37.59066,5/6/17,active,309-507-0003,Kenya
Petaurus australis,Yellow-Bellied Glider,145.68572,-37.59062,5/6/17,active,309-507-0003,Kenya
Petaurus australis,Yellow-Bellied Glider,145.69283,-37.58802,10/6/17,active,309-507-0007,White House
Petaurus australis,Yellow-Bellied Glider,145.68813,-37.57668,4/6/17,active,N/A,N/A
Petaurus australis,Yellow-Bellied Glider,145.56263,-37.5458,8/4/17,active,300-524-0002,Waves
Petaurus australis,Yellow-Bellied Glider,145.58229,-37.53971,12/10/17,active,307-503-0003,Flow Zone
Petaurus australis,Yellow-Bellied Glider,145.93326,-37.53258,14/1/18,active,312-510-0007,Bromance
Petaurus australis,Yellow-Bellied Glider,145.93768,-37.52875,6/1/18,active,312-510-0009,Lovers Lane
Petaurus australis,Yellow-Bellied Glider,145.93942,-37.5287,7/1/18,active,312-510-0009,Lovers Lane
Petaurus australis,Yellow-Bellied Glider,145.93931,-37.49473,5/11/17,active,312-007-0014,Skupani
Petaurus australis,Yellow-Bellied Glider,145.93931,-37.49473,5/11/17,active,312-007-0014,Skupani
Petaurus australis,Yellow-Bellied Glider,145.95764,-37.46756,2/6/17,active,312-002-0006,Farm Spur Gum
Petaurus australis,Yellow-Bellied Glider,145.52584,-37.44156,28/12/17,active,298-516-0003,Proposed
Petaurus australis,Yellow-Bellied Glider,145.52563,-37.43473,28/12/17,active,298-516-0002,Proposed
Petaurus australis,Yellow-Bellied Glider,145.52896,-37.43225,27/12/17,active,298-516-0002,Proposed
Petaurus australis,Yellow-Bellied Glider,145.52544,-37.42932,27/8/17,active,298-516-0001,Glenview
Petaurus australis,Yellow-Bellied Glider,145.94119,-37.42131,4/11/17,active,288-520-0009,Baker Street
Petaurus australis,Yellow-Bellied Glider,145.93545,-37.40368,2/4/17,active,288-519-0005,Sawblade Saddle
